-18.7   0,1,2
-17.8   4,5,6
-16.9   9,10,11
-16.3   16,17,18
-15.4   13,14,15
-14.6   18,19,20
-13.7   22,23,24
-13.0   27,28,29
-12.1   32,33,34
-11.2   36,37,38
-10.5   41,42,43
-9.5    45,46,47
-8.7    51,52,53
-7.9    54,55,56
-7.1    59,60,61
-6.2    63,64,65
-5.4    68,69,70
-4.4    73,74,75
-3.6    77,78,79
-2.7    82,83,84
-1.9    86,87,88
-1.0    91,92,93
-0.1    95,96,97
0.7     100,101,102
1.6     105,106,107
2.4     109,110,111
3.3     114,115,116
4.2     118,119,120
5.0     123,124,125
5.9     127,128,129
6.8     132,133,134
7.6     136,137,138
8.5     141,142,143
9.3     146,147,148
10.2    150,151,152
11.0    155,156,157
11.9    159,160,161
12.6    164,165,166
13.4    168,169,170
14.3    173,174,175
15.2    177,178,179
